iter	Passed	Remaining
0	3	3159
1	5	2891
2	8	2729
3	10	2607
4	12	2586
5	15	2566
6	17	2521
7	20	2515
8	22	2488
9	24	2469
10	27	2467
11	29	2451
12	31	2426
13	34	2406
14	36	2398
15	38	2387
16	41	2379
17	43	2373
18	45	2357
19	47	2349
20	50	2357
21	53	2364
22	55	2363
23	57	2355
24	60	2345
25	62	2342
26	65	2345
27	67	2357
28	69	2343
29	71	2326
30	74	2316
31	76	2302
32	78	2296
33	80	2286
34	83	2289
35	95	2567
36	97	2549
37	100	2547
38	103	2541
39	105	2534
40	107	2522
41	110	2509
42	112	2493
43	114	2480
44	116	2467
45	118	2455
46	120	2443
47	123	2441
48	125	2436
49	127	2427
50	130	2422
51	132	2423
52	135	2427
53	138	2424
54	140	2420
55	143	2417
56	145	2411
57	148	2407
58	150	2400
59	152	2386
60	154	2380
61	157	2377
62	159	2372
63	161	2365
64	164	2366
65	166	2359
66	169	2355
67	171	2355
68	173	2346
69	176	2338
70	178	2333
71	186	2408
72	188	2397
73	190	2389
74	192	2380
75	195	2372
76	197	2366
77	200	2364
78	202	2358
79	204	2353
80	206	2348
81	209	2340
82	211	2335
83	213	2332
84	216	2327
85	218	2324
86	220	2317
87	223	2313
88	225	2307
89	227	2300
90	230	2297
91	232	2294
92	234	2290
93	237	2284
94	239	2278
95	241	2274
96	244	2275
97	246	2270
98	263	2400
99	265	2393
100	268	2386
101	270	2379
102	272	2373
103	274	2368
104	277	2361
105	279	2358
106	282	2354
107	284	2347
108	286	2342
109	288	2336
110	290	2329
111	292	2322
112	295	2318
113	297	2313
114	299	2307
115	301	2299
116	303	2293
117	306	2289
118	308	2286
119	311	2284
120	313	2278
121	315	2272
122	318	2267
123	320	2262
124	322	2257
125	341	2368
126	344	2365
127	346	2363
128	349	2358
129	351	2353
130	353	2347
131	355	2340
132	358	2334
133	360	2332
134	363	2326
135	365	2319
136	367	2313
137	369	2306
138	371	2302
139	374	2297
140	375	2290
141	378	2285
142	380	2280
143	382	2275
144	384	2269
145	386	2262
146	389	2258
147	391	2253
148	394	2250
149	396	2244
150	398	2239
151	400	2234
152	402	2229
153	404	2224
154	407	2219
155	409	2214
156	411	2209
157	413	2204
158	415	2198
159	417	2194
160	420	2189
161	422	2185
162	424	2180
163	427	2178
164	429	2175
165	431	2170
166	434	2166
167	436	2162
168	439	2159
169	441	2154
170	443	2150
171	445	2145
172	447	2141
173	450	2138
174	452	2134
175	454	2129
176	457	2126
177	459	2123
178	462	2119
179	481	2194
180	483	2190
181	486	2184
182	488	2181
183	492	2182
184	495	2182
185	499	2184
186	502	2184
187	506	2185
188	509	2184
189	512	2183
190	514	2180
191	516	2174
192	518	2168
193	520	2162
194	522	2157
195	524	2150
196	525	2143
197	527	2137
198	529	2131
199	531	2124
200	533	2119
201	535	2113
202	537	2108
203	539	2103
204	541	2099
205	543	2094
206	545	2089
207	547	2085
208	549	2080
209	552	2076
210	554	2074
211	573	2132
212	575	2127
213	578	2123
214	580	2118
215	582	2113
216	584	2109
217	586	2105
218	588	2099
219	591	2095
220	593	2091
221	595	2087
222	604	2106
223	606	2100
224	608	2095
225	610	2091
226	613	2087
227	615	2084
228	618	2080
229	620	2076
230	622	2071
231	624	2067
232	626	2063
233	628	2058
234	631	2054
235	633	2051
236	636	2047
237	638	2044
238	640	2040
239	642	2035
240	644	2031
241	647	2026
242	649	2022
243	651	2018
244	653	2015
245	656	2011
246	658	2007
247	660	2002
248	662	1998
249	664	1994
250	666	1989
251	669	1985
252	671	1981
253	673	1977
254	675	1974
255	677	1969
256	679	1965
257	682	1962
258	684	1959
259	687	1955
260	689	1951
261	691	1947
262	693	1943
263	695	1939
264	698	1936
265	700	1932
266	702	1929
267	704	1924
268	706	1920
269	708	1915
270	710	1911
271	713	1908
272	715	1906
273	717	1902
274	720	1898
275	722	1895
276	724	1891
277	726	1887
278	728	1883
279	731	1880
280	733	1876
281	735	1872
282	737	1869
283	740	1865
284	742	1862
285	744	1858
286	746	1855
287	748	1851
288	751	1849
289	754	1846
290	756	1842
291	758	1839
292	761	1836
293	763	1833
294	765	1829
295	767	1825
296	769	1822
297	771	1818
298	774	1815
299	776	1812
300	779	1810
301	781	1806
302	783	1803
303	786	1799
304	788	1795
305	790	1791
306	792	1788
307	794	1784
308	796	1781
309	799	1778
310	801	1774
311	803	1771
312	805	1768
313	807	1764
314	809	1761
315	811	1757
316	814	1754
317	816	1750
318	818	1746
319	820	1743
320	822	1740
321	825	1737
322	827	1734
323	830	1731
324	832	1728
325	834	1725
326	836	1722
327	839	1719
328	841	1715
329	843	1713
330	846	1709
331	848	1706
332	850	1702
333	852	1699
334	854	1696
335	856	1692
336	858	1689
337	861	1686
338	867	1691
339	870	1690
340	873	1688
341	877	1687
342	879	1684
343	881	1681
344	885	1680
345	888	1678
346	890	1676
347	893	1674
348	896	1672
349	899	1670
350	901	1667
351	903	1663
352	905	1659
353	907	1655
354	909	1651
355	910	1647
356	913	1644
357	916	1643
358	919	1641
359	922	1639
360	925	1638
361	928	1635
362	929	1631
363	931	1627
364	933	1624
365	935	1620
366	937	1616
367	939	1613
368	941	1609
369	942	1605
370	945	1602
371	947	1599
372	949	1596
373	951	1592
374	953	1589
375	956	1586
376	958	1583
377	960	1581
378	962	1577
379	965	1575
380	967	1572
381	971	1571
382	973	1568
383	975	1565
384	977	1562
385	980	1559
386	982	1556
387	984	1552
388	986	1549
389	988	1546
390	990	1543
391	993	1540
392	1004	1551
393	1006	1548
394	1009	1545
395	1011	1542
396	1013	1539
397	1015	1536
398	1017	1533
399	1020	1530
400	1022	1527
401	1024	1524
402	1026	1521
403	1028	1517
404	1030	1514
405	1032	1511
406	1034	1507
407	1037	1504
408	1039	1501
409	1041	1499
410	1043	1495
411	1045	1492
412	1047	1489
413	1050	1486
414	1052	1483
415	1054	1480
416	1057	1477
417	1059	1474
418	1061	1471
419	1063	1468
420	1065	1465
421	1067	1462
422	1069	1459
423	1072	1456
424	1074	1453
425	1076	1450
426	1078	1447
427	1080	1444
428	1082	1441
429	1085	1438
430	1087	1435
431	1089	1432
432	1091	1429
433	1093	1426
434	1095	1423
435	1098	1420
436	1100	1417
437	1102	1414
438	1104	1411
439	1106	1408
440	1108	1405
441	1110	1402
442	1113	1399
443	1115	1396
444	1118	1395
445	1120	1391
446	1122	1388
447	1124	1386
448	1127	1383
449	1129	1380
450	1131	1377
451	1133	1374
452	1135	1371
453	1138	1368
454	1140	1365
455	1142	1363
456	1144	1360
457	1146	1357
458	1148	1354
459	1151	1351
460	1153	1348
461	1155	1345
462	1157	1342
463	1159	1339
464	1161	1336
465	1163	1333
466	1166	1331
467	1168	1328
468	1170	1325
469	1172	1322
470	1174	1319
471	1176	1316
472	1179	1314
473	1181	1311
474	1183	1308
475	1185	1305
476	1187	1302
477	1190	1299
478	1192	1296
479	1194	1293
480	1196	1291
481	1198	1288
482	1201	1285
483	1203	1282
484	1205	1279
485	1207	1277
486	1209	1274
487	1211	1271
488	1213	1268
489	1216	1265
490	1218	1263
491	1220	1260
492	1222	1257
493	1225	1254
494	1227	1251
495	1229	1249
496	1231	1246
497	1233	1243
498	1235	1240
499	1237	1237
500	1239	1234
501	1242	1232
502	1244	1229
503	1246	1226
504	1248	1224
505	1250	1221
506	1252	1218
507	1255	1215
508	1257	1212
509	1259	1210
510	1261	1207
511	1263	1204
512	1266	1202
513	1268	1199
514	1270	1196
515	1272	1193
516	1274	1191
517	1276	1188
518	1278	1185
519	1281	1183
520	1284	1180
521	1286	1177
522	1288	1174
523	1290	1172
524	1292	1169
525	1294	1166
526	1297	1164
527	1299	1161
528	1302	1159
529	1304	1156
530	1306	1153
531	1308	1151
532	1311	1148
533	1313	1146
534	1315	1143
535	1317	1140
536	1320	1138
537	1322	1135
538	1324	1132
539	1326	1129
540	1328	1127
541	1330	1124
542	1333	1121
543	1335	1119
544	1337	1116
545	1339	1113
546	1341	1111
547	1344	1108
548	1346	1106
549	1349	1103
550	1351	1101
551	1353	1098
552	1355	1095
553	1357	1092
554	1359	1090
555	1362	1087
556	1364	1085
557	1366	1082
558	1368	1079
559	1370	1077
560	1372	1074
561	1374	1071
562	1377	1069
563	1379	1066
564	1381	1063
565	1383	1060
566	1385	1058
567	1387	1055
568	1390	1052
569	1392	1050
570	1394	1047
571	1397	1045
572	1399	1042
573	1401	1040
574	1403	1037
575	1405	1034
576	1407	1032
577	1410	1029
578	1412	1027
579	1414	1024
580	1416	1021
581	1418	1018
582	1421	1016
583	1423	1013
584	1425	1011
585	1427	1008
586	1430	1006
587	1432	1003
588	1434	1000
589	1436	998
590	1438	995
591	1441	993
592	1443	990
593	1445	988
594	1448	985
595	1450	983
596	1452	980
597	1455	978
598	1457	975
599	1459	973
600	1462	970
601	1464	968
602	1466	965
603	1468	963
604	1471	960
605	1473	957
606	1475	955
607	1477	952
608	1479	949
609	1481	947
610	1484	944
611	1486	942
612	1488	939
613	1490	937
614	1493	934
615	1495	931
616	1497	929
617	1499	926
618	1501	924
619	1503	921
620	1505	918
621	1508	916
622	1510	913
623	1512	911
624	1514	908
625	1516	906
626	1519	903
627	1521	901
628	1523	898
629	1526	896
630	1528	893
631	1530	891
632	1533	888
633	1535	886
634	1537	883
635	1539	881
636	1541	878
637	1543	875
638	1545	873
639	1547	870
640	1550	868
641	1552	865
642	1554	863
643	1556	860
644	1558	857
645	1560	855
646	1562	852
647	1565	850
648	1567	847
649	1569	845
650	1571	842
651	1574	840
652	1576	837
653	1578	834
654	1580	832
655	1583	830
656	1585	827
657	1587	824
658	1589	822
659	1591	819
660	1593	817
661	1595	814
662	1597	812
663	1599	809
664	1601	806
665	1603	804
666	1605	801
667	1608	799
668	1610	796
669	1612	794
670	1614	791
671	1617	789
672	1619	786
673	1621	784
674	1623	781
675	1625	779
676	1627	776
677	1629	774
678	1632	771
679	1635	769
680	1637	766
681	1639	764
682	1641	761
683	1643	759
684	1646	757
685	1649	754
686	1651	752
687	1653	749
688	1655	747
689	1657	744
690	1659	742
691	1662	739
692	1664	737
693	1666	734
