iter	Passed	Remaining
0	11	11289
1	19	9594
2	27	9301
3	35	8943
4	44	8758
5	51	8572
6	59	8497
7	67	8415
8	76	8370
9	84	8316
10	91	8262
11	99	8188
12	107	8127
13	115	8109
14	122	8072
15	131	8063
16	140	8098
17	148	8095
18	156	8075
19	164	8051
20	171	8008
21	180	8002
22	187	7952
23	195	7933
24	202	7898
25	210	7870
26	217	7855
27	225	7835
28	233	7819
29	241	7804
30	248	7776
31	257	7776
32	264	7759
33	272	7743
34	280	7730
35	288	7716
36	296	7711
37	303	7692
38	312	7690
39	319	7674
40	327	7664
41	334	7640
42	343	7634
43	350	7621
44	358	7605
45	366	7594
46	374	7584
47	381	7563
48	389	7555
49	396	7539
50	404	7522
51	411	7507
52	420	7504
53	427	7492
54	434	7472
55	442	7465
56	450	7447
57	458	7441
58	466	7433
59	473	7423
60	481	7414
61	489	7410
62	497	7406
63	505	7398
64	513	7389
65	521	7378
66	528	7363
67	537	7361
68	545	7357
69	553	7355
70	561	7345
71	569	7341
72	577	7329
73	584	7315
74	592	7312
75	600	7303
76	609	7301
77	616	7290
78	624	7282
79	632	7272
80	640	7269
81	648	7260
82	657	7258
83	664	7249
84	672	7242
85	680	7236
86	688	7227
87	696	7213
88	704	7210
89	712	7200
90	719	7190
91	727	7182
92	735	7174
93	743	7162
94	750	7152
95	759	7150
96	767	7140
97	775	7135
98	783	7130
99	791	7119
100	798	7110
101	806	7104
102	814	7095
103	822	7089
104	830	7081
105	839	7079
106	846	7067
107	854	7060
108	862	7048
109	870	7040
110	877	7030
111	886	7025
112	894	7019
113	902	7011
114	909	7001
115	917	6995
116	925	6984
117	933	6980
118	942	6974
119	950	6970
120	958	6962
121	966	6957
122	974	6949
123	982	6942
124	991	6937
125	998	6927
126	1006	6920
127	1014	6910
128	1022	6900
129	1029	6890
130	1037	6884
131	1045	6872
132	1053	6867
133	1061	6858
134	1069	6854
135	1077	6845
136	1085	6839
137	1094	6838
138	1104	6839
139	1113	6837
140	1121	6833
141	1131	6835
142	1139	6828
143	1148	6827
144	1156	6821
145	1165	6817
146	1173	6808
147	1180	6797
148	1188	6787
149	1196	6779
150	1204	6773
151	1212	6765
152	1220	6756
153	1228	6749
154	1237	6744
155	1244	6733
156	1253	6728
157	1260	6718
158	1268	6712
159	1276	6700
160	1285	6696
161	1292	6683
162	1300	6677
163	1308	6667
164	1315	6655
165	1323	6648
166	1331	6640
167	1338	6631
168	1347	6623
169	1354	6611
170	1361	6601
171	1370	6595
172	1377	6585
173	1385	6576
174	1392	6566
175	1400	6557
176	1407	6546
177	1415	6538
178	1423	6530
179	1431	6522
180	1438	6508
181	1446	6499
182	1453	6489
183	1462	6485
184	1469	6475
185	1477	6466
186	1485	6459
187	1493	6449
188	1500	6439
189	1507	6428
190	1515	6418
191	1522	6408
192	1531	6401
193	1538	6392
194	1545	6381
195	1553	6373
196	1561	6364
197	1568	6351
198	1575	6341
199	1583	6333
200	1590	6323
201	1598	6314
202	1605	6305
203	1614	6298
204	1621	6289
205	1629	6280
206	1636	6268
207	1644	6260
208	1652	6252
209	1660	6244
210	1668	6239
211	1676	6231
212	1684	6223
213	1692	6215
214	1700	6209
215	1708	6201
216	1716	6193
217	1724	6184
218	1731	6175
219	1738	6163
220	1746	6155
221	1754	6147
222	1761	6138
223	1769	6130
224	1776	6120
225	1784	6112
226	1792	6104
227	1800	6096
228	1808	6088
229	1815	6079
230	1824	6073
231	1831	6064
232	1839	6055
233	1847	6047
234	1854	6038
235	1862	6030
236	1870	6023
237	1879	6016
238	1887	6008
239	1895	6001
240	1903	5995
241	1911	5988
242	1919	5979
243	1927	5973
244	1935	5964
245	1943	5956
246	1950	5947
247	1958	5939
248	1966	5930
249	1973	5921
250	1980	5910
251	1988	5902
252	1997	5896
253	2004	5888
254	2012	5880
255	2020	5871
256	2028	5863
257	2035	5853
258	2042	5844
259	2050	5835
260	2058	5827
261	2065	5819
262	2073	5810
263	2081	5801
264	2089	5796
265	2096	5784
266	2104	5776
267	2112	5769
268	2121	5764
269	2130	5758
270	2137	5751
271	2146	5744
272	2154	5738
273	2162	5730
274	2170	5722
275	2178	5713
276	2186	5705
277	2193	5698
278	2202	5692
279	2210	5684
280	2218	5677
281	2225	5666
282	2233	5657
283	2241	5650
284	2249	5642
285	2256	5633
286	2265	5627
287	2272	5617
288	2279	5609
289	2288	5601
290	2295	5593
291	2304	5586
292	2311	5576
293	2318	5568
294	2326	5560
295	2334	5552
296	2341	5543
297	2349	5535
298	2357	5526
299	2365	5518
300	2372	5509
301	2381	5503
302	2389	5496
303	2397	5489
304	2405	5480
305	2412	5472
306	2420	5463
307	2427	5454
308	2435	5446
309	2443	5438
310	2451	5431
311	2458	5422
312	2466	5414
313	2474	5405
314	2482	5398
315	2489	5389
316	2497	5381
317	2505	5373
318	2513	5364
319	2520	5355
320	2526	5344
321	2534	5336
322	2541	5327
323	2549	5319
324	2556	5310
325	2563	5300
326	2570	5291
327	2578	5282
328	2586	5274
329	2593	5266
330	2601	5257
331	2608	5249
332	2616	5241
333	2623	5232
334	2632	5225
335	2639	5215
336	2646	5206
337	2653	5197
338	2660	5188
339	2668	5180
340	2677	5173
341	2684	5164
342	2692	5156
343	2699	5148
344	2707	5139
345	2715	5132
346	2722	5123
347	2730	5115
348	2738	5108
349	2746	5101
350	2754	5093
351	2763	5086
352	2770	5078
353	2779	5071
354	2787	5063
355	2794	5055
356	2802	5047
357	2810	5040
358	2818	5031
359	2825	5023
360	2833	5015
361	2841	5008
362	2849	5000
363	2857	4992
364	2865	4985
365	2873	4976
366	2881	4969
367	2889	4962
368	2898	4955
369	2906	4948
370	2914	4940
371	2921	4932
372	2930	4926
373	2938	4918
374	2947	4911
375	2954	4902
376	2962	4895
377	2970	4887
378	2978	4879
379	2986	4871
380	2994	4864
381	3001	4855
382	3009	4848
383	3016	4839
384	3025	4832
385	3032	4824
386	3040	4816
387	3048	4809
388	3056	4801
389	3064	4793
390	3071	4784
391	3079	4776
392	3086	4767
393	3095	4760
394	3103	4754
395	3112	4747
396	3121	4741
397	3129	4734
398	3137	4726
399	3145	4718
400	3153	4710
401	3162	4703
402	3169	4694
403	3176	4686
404	3184	4678
405	3192	4671
406	3200	4663
407	3208	4655
408	3216	4647
409	3224	4640
410	3232	4632
411	3240	4625
412	3248	4617
413	3256	4609
414	3264	4601
415	3272	4593
416	3280	4586
417	3288	4578
418	3295	4569
419	3303	4561
420	3310	4553
421	3318	4544
422	3326	4538
423	3334	4529
424	3343	4523
425	3351	4515
426	3359	4508
427	3367	4499
428	3375	4493
429	3383	4484
430	3390	4476
431	3398	4468
432	3406	4460
433	3414	4453
434	3423	4446
435	3430	4437
436	3438	4430
437	3446	4422
